1;1950;Giuseppe Farina;Alfa Romeo;Italia;2024-06-02
2;1951;Juan Manuel Fangio;Alfa Romeo;Argentina;2024-06-02
3;1952;Alberto Ascari;Ferrari;Italia;2024-06-02
4;1953;Alberto Ascari;Ferrari;Italia;2024-06-02
5;1954;Juan Manuel Fangio;Maserati;Argentina;2024-06-02
6;1955;Juan Manuel Fangio;Mercedes;Argentina;2024-06-02
7;1956;Juan Manuel Fangio;Ferrari;Argentina;2024-06-02
8;1957;Juan Manuel Fangio;Maserati;Argentina;2024-06-02
9;1958;Mike Hawthorn;Ferrari;Inglaterra;2024-06-02
10;1959;Jack Brabham;Cooper;Australia;2024-06-02
11;1960;Jack Brabham;Cooper;Australia;2024-06-02
12;1961;Phil Hill;Ferrari;EUA;2024-06-02
13;1962;Graham Hill;BRM;Inglaterra;2024-06-02
14;1963;Jim Clark;Lotus;Inglaterra;2024-06-02
15;1964;John Surtees;Ferrari;Inglaterra;2024-06-02
16;1965;Jim Clark;Lotus;Inglaterra;2024-06-02
17;1966;Jack Brabham;Brabham;Australia;2024-06-02
18;1967;Denny Hulme;Brabham;Nova Zelandia;2024-06-02
19;1968;Graham Hill;Lotus;Inglaterra;2024-06-02
20;1969;Jackie Stewart;Matra;Inglaterra;2024-06-02
21;1970;Jochen Rindt;Lotus;Austria;2024-06-02
22;1971;Jackie Stewart;Tyrrell;Inglaterra;2024-06-02
23;1972;Emerson Fittipaldi;Lotus;Brasil;2024-06-02
24;1973;Jackie Stewart;Tyrrell;Inglaterra;2024-06-02
25;1974;Emerson Fittipaldi;McLaren;Brasil;2024-06-02
26;1975;Niki Lauda;Ferrari;Austria;2024-06-02
27;1976;James Hunt;McLaren;Inglaterra;2024-06-02
28;1977;Niki Lauda;Ferrari;Austria;2024-06-02
29;1978;Mario Andretti;Lotus;EUA;2024-06-02
30;1979;Jody Scheckter;Ferrari;Africa do Sul;2024-06-02
31;1980;Alan Jones;Williams;Australia;2024-06-02
32;1981;Nelson Piquet;Brabham;Brasil;2024-06-02
33;1982;Keke Rosberg;Williams;Finlandia;2024-06-02
34;1983;Nelson Piquet;Brabham;Brasil;2024-06-02
35;1984;Niki Lauda;McLaren;Austria;2024-06-02
36;1985;Alain Prost;McLaren;Franca;2024-06-02
37;1986;Alain Prost;McLaren;Franca;2024-06-02
38;1987;Nelson Piquet;Williams;Brasil;2024-06-02
39;1988;Ayrton Senna;Williams;Brasil;2024-06-02
40;1989;Alain Prost;McLaren;Franca;2024-06-02
41;1990;Ayrton Senna;McLaren;Brasil;2024-06-02
42;1991;Ayrton Senna;McLaren;Brasil;2024-06-02
43;1992;Nigel Mansell;Williams;Inglaterra;2024-06-02
44;1993;Alain Prost;Williams;Franca;2024-06-02
45;1994;Michael Schumacher;Benetton;Alemanha;2024-06-02
46;1995;Michael Schumacher;Benetton;Alemanha;2024-06-02
47;1996;Damon Hill;Williams;Inglaterra;2024-06-02
48;1997;Jacques Villeneuve;Williams;Canada;2024-06-02
49;1998;Mika Häkkinen;McLaren;Finlandia;2024-06-02
50;1999;Mika Häkkinen;McLaren;Finlandia;2024-06-02
51;2000;Michael Schumacher;Ferrari;Alemanha;2024-06-02
52;2001;Michael Schumacher;Ferrari;Alemanha;2024-06-02
53;2002;Michael Schumacher;Ferrari;Alemanha;2024-06-02
54;2003;Michael Schumacher;Ferrari;Alemanha;2024-06-02
55;2004;Michael Schumacher;Ferrari;Alemanha;2024-06-02
56;2005;Fernando Alonso;Renault;Espanha;2024-06-02
57;2006;Fernando Alonso;Renault;Espanha;2024-06-02
58;2007;Kimi Räikkönen;Ferrari;Finlandia;2024-06-02
59;2008;Lewis Hamilton;McLaren;Inglaterra;2024-06-02
60;2009;Jenson Button;Brawn;Inglaterra;2024-06-02
61;2010;Sebastian Vettel;Red Bull;Alemanha;2024-06-02
62;2011;Sebastian Vettel;Red Bull;Alemanha;2024-06-02
63;2012;Sebastian Vettel;Red Bull;Alemanha;2024-06-02
64;2013;Sebastian Vettel;Red Bull;Alemanha;2024-06-02
65;2014;Lewis Hamilton;Mercedes;Inglaterra;2024-06-02
66;2015;Lewis Hamilton;Mercedes;Inglaterra;2024-06-02
67;2016;Nico Rosberg;Mercedes;Alemanha;2024-06-02
68;2017;Lewis Hamilton;Mercedes;Inglaterra;2024-06-02
69;2018;Lewis Hamilton;Mercedes;Inglaterra;2024-06-02
70;2019;Lewis Hamilton;Mercedes;Inglaterra;2024-06-02
71;2020;Lewis Hamilton;Mercedes;Inglaterra;2024-06-02
72;2021;Max Verstappen;Red Bull;Holanda;2024-06-02
73;2022;Max Verstappen;Red Bull;Holanda;2024-06-02
74;2023;Max Verstappen;Red Bull;Holanda;2024-06-02
